state,year,name,type,city,county,enroll,mmr,overall,schagepop2016,statespending2016
Arizona,2018-19,Anna Marie Jacobson Elementary,Public,Chandler,Maricopa,98,88.78,NA,1199,7137123
Arizona,2018-19,Annie Kellond Elementary,Public,Tucson,Pima,81,96.3,NA,1199,7137123
Arizona,2018-19,Anthem,Public,Anthem,Maricopa,52,94.23,NA,1199,7137123
Arizona,2018-19,Anthem K-8,Public,Florence,Pinal,85,92.94,NA,1199,7137123
Arizona,2018-19,Anthem Preparatory Academy,Charter,Anthem,Maricopa,61,86.89,NA,1199,7137123
Arizona,2018-19,Anza Trail Elementary,Public,Sahuarita,Pima,98,97.96,NA,1199,7137123
Arizona,2018-19,Apache Elementary,Public,Peoria,Maricopa,71,98.59,NA,1199,7137123
Arizona,2018-19,Apache Elementary,Public,Portal,Cochise,NA,NA,NA,1199,7137123
Arizona,2018-19,Arcadia Montessori,Private,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Arcadia Neighborhood Learning Center,Public,Scottsdale,Maricopa,42,95.24,NA,1199,7137123
Arizona,2018-19,Archway Classical Academy - Chandler,Charter,Chandler,Maricopa,83,92.77,NA,1199,7137123
Arizona,2018-19,Archway Classical Academy - Scottsdale,Charter,Scottsdale,Maricopa,170,87.06,NA,1199,7137123
Arizona,2018-19,Archway Classical Academy Glendale,Charter,Peoria,Maricopa,91,93.41,NA,1199,7137123
Arizona,2018-19,Arizona Academy Of Science And Technology,Charter,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Arizona Autism Charter,Charter,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Arizona Charter Academy,Charter,Surprise,Maricopa,124,99.19,NA,1199,7137123
Arizona,2018-19,Arizona Connections Academy,Charter,Gilbert,Maricopa,115,72.17,NA,1199,7137123
Arizona,2018-19,Arizona Cultural Academy,Private,Phoenix,Maricopa,26,100,NA,1199,7137123
Arizona,2018-19,Arizona Desert Elementary,Public,San Luis,Yuma,78,100,NA,1199,7137123
Arizona,2018-19,Arizona Desert Elementary,Public,Tolleson,Maricopa,73,94.52,NA,1199,7137123
Arizona,2018-19,Arizona School For The Deaf & Blind,Public,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Arlington Elementary,Public,Arlington,Maricopa,23,95.65,NA,1199,7137123
Arizona,2018-19,Arredondo Elementary,Public,Tempe,Maricopa,76,96.05,NA,1199,7137123
Arizona,2018-19,Arrowhead Christian Academy,Private,Glendale,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Arrowhead Elementary School-85032,Public,Phoenix,Maricopa,31,93.55,NA,1199,7137123
Arizona,2018-19,Arrowhead Elementary School-85308,Public,Glendale,Maricopa,81,95.06,NA,1199,7137123
Arizona,2018-19,Arroyo,Public,Glendale,Maricopa,42,97.62,NA,1199,7137123
Arizona,2018-19,Arthur M Hamilton,Public,Phoenix,Maricopa,35,100,NA,1199,7137123
Arizona,2018-19,Arts Academy At Estrella Mountain,Charter,Phoenix,Maricopa,121,93.39,NA,1199,7137123
Arizona,2018-19,Ascension Lutheran,Private,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Ash Creek Elementary,Public,Pearce,Cochise,NA,NA,NA,1199,7137123
Arizona,2018-19,Ash Fork Elementary,Public,Ash Fork,Yavapai,NA,NA,NA,1199,7137123
Arizona,2018-19,Ashton Ranch Elementary,Public,Surprise,Maricopa,68,95.59,NA,1199,7137123
Arizona,2018-19,Asu Preparatory Academy - Phoenix Elementary,Public,Phoenix,Maricopa,69,97.1,NA,1199,7137123
Arizona,2018-19,Asu Preparatory Academy - Polytechnic Elementary,Public,Mesa,Maricopa,74,95.95,NA,1199,7137123
Arizona,2018-19,Atonement Lutheran,Private,Glendale,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Audrey & Robert Ryan Elementary,Public,Chandler,Maricopa,79,92.41,NA,1199,7137123
Arizona,2018-19,Augusta Ranch Elementary,Public,Mesa,Maricopa,138,92.75,NA,1199,7137123
Arizona,2018-19,Augustus H Shaw Jr,Public,Phoenix,Maricopa,69,88.41,NA,1199,7137123
Arizona,2018-19,Avalon Elementary,Charter,Apache Junction,Pinal,52,86.54,NA,1199,7137123
Arizona,2018-19,Awakening Seed,Private,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Az Aspire Academy,Private,Tempe,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Bagdad Elementary,Public,Bagdad,Yavapai,30,96.67,NA,1199,7137123
Arizona,2018-19,Bales Elementary,Public,Buckeye,Maricopa,72,94.44,NA,1199,7137123
Arizona,2018-19,Barbara B Robey Elementary,Public,Litchfield Park,Maricopa,114,98.25,NA,1199,7137123
Arizona,2018-19,Barbara Bush Elementary,Public,Mesa,Maricopa,80,93.75,NA,1199,7137123
Arizona,2018-19,Barcelona Elementary,Public,Glendale,Maricopa,119,96.64,NA,1199,7137123
Arizona,2018-19,Basha Elementary,Public,Chandler,Maricopa,71,92.96,NA,1199,7137123
Arizona,2018-19,Basis - Flagstaff,Charter,Flagstaff,Coconino,64,96.88,NA,1199,7137123
Arizona,2018-19,Basis - Mesa,Charter,Mesa,Maricopa,59,96.61,NA,1199,7137123
Arizona,2018-19,Basis - Peoria Primary,Charter,Peoria,Maricopa,126,95.24,NA,1199,7137123
Arizona,2018-19,Basis - Phoenix Primary,Charter,Phoenix,Maricopa,127,93.7,NA,1199,7137123
Arizona,2018-19,Basis - Scottsdale Primary West Campus,Charter,Scottsdale,Maricopa,92,92.39,NA,1199,7137123
Arizona,2018-19,Basis - Tucson Middle,Charter,Tucson,Pima,161,96.27,NA,1199,7137123
Arizona,2018-19,Basis Chandler Primary North Campus,Charter,Chandler,Maricopa,125,87.2,NA,1199,7137123
