state,year,name,type,city,county,enroll,mmr,overall,schagepop2016,statespending2016
California,2018-19,Plummer Elementary,Public,North Hills,Los Angeles,160,96,93,6602,68892072
California,2018-19,Plymouth Christian,Private,Whittier,Los Angeles,NA,NA,NA,6602,68892072
California,2018-19,Plymouth Elementary,Public,Monrovia,Los Angeles,105,98,98,6602,68892072
California,2018-19,Plymouth Elementary,Public,Plymouth,Amador,21,95,95,6602,68892072
California,2018-19,Podesta Ranch Elementary,Public,Stockton,San Joaquin,91,98,98,6602,68892072
California,2018-19,Poinsettia Elementary,Public,Carlsbad,San Diego,61,97,93,6602,68892072
California,2018-19,Poinsettia Elementary,Public,Ventura,Ventura,52,98,96,6602,68892072
California,2018-19,Point Dume Elementary,Public,Malibu,Los Angeles,20,90,75,6602,68892072
California,2018-19,Point Fermin Elementary,Public,San Pedro,Los Angeles,51,98,98,6602,68892072
California,2018-19,Point Vicente Elementary,Public,Rancho Palos Verdes,Los Angeles,73,98,98,6602,68892072
California,2018-19,Polytechnic,Private,Pasadena,Los Angeles,45,95,95,6602,68892072
California,2018-19,Pomelo Community Charter,Public,West Hills,Los Angeles,120,99,99,6602,68892072
California,2018-19,Pomerado Elementary,Public,Poway,San Diego,88,97,97,6602,68892072
California,2018-19,Pomeroy Elementary,Public,Santa Clara,Santa Clara,66,98,98,6602,68892072
California,2018-19,Pomo,Public,Clearlake,Lake,89,98,96,6602,68892072
California,2018-19,Pomona Elementary,Public,Costa Mesa,Orange,50,98,98,6602,68892072
California,2018-19,Pond Elementary,Public,Wasco,Kern,24,95,95,6602,68892072
California,2018-19,Ponderosa Elementary,Public,Anaheim,Orange,145,99,99,6602,68892072
California,2018-19,Ponderosa Elementary,Public,Paradise,Butte,122,98,94,6602,68892072
California,2018-19,Ponderosa Elementary,Public,South San Francisco,San Mateo,64,98,98,6602,68892072
California,2018-19,Ponderosa Elementary,Public,Sunnyvale,Santa Clara,97,98,98,6602,68892072
California,2018-19,Pony Express Elementary,Public,Sacramento,Sacramento,44,95,95,6602,68892072
California,2018-19,Pope Valley Elementary,Public,Pope Valley,Napa,6,NA,NA,6602,68892072
California,2018-19,Poplar Avenue Elementary,Public,Oroville,Butte,72,98,96,6602,68892072
California,2018-19,Poplar Elementary,Public,Fontana,San Bernardino,94,98,98,6602,68892072
California,2018-19,Porter Elementary,Public,San Diego,San Diego,142,99,99,6602,68892072
California,2018-19,Porter Ranch Community,Public,Porter Ranch,Los Angeles,120,98,94,6602,68892072
California,2018-19,Portola Elementary,Public,San Bruno,San Mateo,62,98,98,6602,68892072
California,2018-19,Portola Elementary,Public,Ventura,Ventura,92,98,98,6602,68892072
California,2018-19,Portola Hills Elementary,Public,Trabuco Canyon,Orange,94,97,97,6602,68892072
California,2018-19,Portola Springs Elementary,Public,Irvine,Orange,171,98,97,6602,68892072
California,2018-19,Post Elementary,Public,Westminster,Orange,84,98,98,6602,68892072
California,2018-19,Potrero Elementary,Public,El Monte,Los Angeles,65,98,98,6602,68892072
California,2018-19,Potrero Elementary,Public,Potrero,San Diego,39,95,95,6602,68892072
California,2018-19,Potrero Heights Elementary,Public,South San Gabriel,Los Angeles,85,98,98,6602,68892072
California,2018-19,Potter Valley Elementary,Public,Potter Valley,Mendocino,20,95,95,6602,68892072
California,2018-19,Poverello Of Assisi Preschool,Private,Sylmar,Los Angeles,59,95,95,6602,68892072
California,2018-19,Powell Academy For Success,Public,Long Beach,Los Angeles,103,98,96,6602,68892072
California,2018-19,Powersginsburg Elementary,Public,Fresno,Fresno,81,98,98,6602,68892072
California,2018-19,Prado View Elementary,Public,Corona,Riverside,76,97,97,6602,68892072
California,2018-19,Prairie Elementary,Public,Anderson,Shasta,71,98,98,6602,68892072
California,2018-19,Prairie Elementary,Public,Sacramento,Sacramento,147,99,99,6602,68892072
California,2018-19,Precious Blood,Private,Los Angeles,Los Angeles,4,NA,NA,6602,68892072
California,2018-19,Prescott,Public,Oakland,Alameda,48,88,85,6602,68892072
California,2018-19,Presentation Of The Blessed Virgin Mary,Private,Sacramento,Sacramento,28,95,95,6602,68892072
California,2018-19,Presentation Parish,Private,Stockton,San Joaquin,31,95,95,6602,68892072
California,2018-19,Presentation School The,Private,Sonoma,Sonoma,21,90,90,6602,68892072
California,2018-19,President Avenue Elementary,Public,Harbor City,Los Angeles,67,96,94,6602,68892072
California,2018-19,Presidio Hill,Private,San Francisco,San Francisco,21,95,95,6602,68892072
California,2018-19,Presidio Knolls,Private,San Francisco,San Francisco,47,95,95,6602,68892072
California,2018-19,Preston Elementary,Public,Rialto,San Bernardino,89,91,91,6602,68892072
California,2018-19,Prestwood Elementary,Public,Sonoma,Sonoma,58,98,95,6602,68892072
California,2018-19,Price Adelaide Elementary,Public,Anaheim,Orange,95,98,98,6602,68892072
California,2018-19,Price Maude Elementary,Public,Downey,Los Angeles,106,92,92,6602,68892072
California,2018-19,Pride Academy At Prospect Avenue,Public,Santee,San Diego,74,98,97,6602,68892072
California,2018-19,Primanti Montessori School Whittier,Private,Whittier,Los Angeles,16,NA,NA,6602,68892072
California,2018-19,Primary Academy For Success,Public,Panorama City,Los Angeles,139,97,96,6602,68892072
California,2018-19,Primary Charter,Public,Tracy,San Joaquin,99,98,98,6602,68892072
California,2018-19,Primary Plus Elementary,Private,San Jose,Santa Clara,66,95,94,6602,68892072
California,2018-19,Primary Years Academy,Public,Stockton,San Joaquin,57,98,96,6602,68892072
California,2018-19,Prince Of Peace Lutheran,Private,Anaheim,Orange,10,NA,NA,6602,68892072
California,2018-19,Prince Of Peace Lutheran,Private,Fremont,Alameda,44,95,95,6602,68892072
California,2018-19,Princeton Elementary,Public,Princeton,Glenn,11,NA,NA,6602,68892072
California,2018-19,Princeton Street Elementary,Public,Delano,Kern,77,97,97,6602,68892072
California,2018-19,Prisk Elementary,Public,Long Beach,Los Angeles,86,98,95,6602,68892072
California,2018-19,Proctor Elementary,Public,Castro Valley,Alameda,85,98,98,6602,68892072
California,2018-19,Proctor Terrace Elementary,Public,Santa Rosa,Sonoma,76,98,93,6602,68892072
California,2018-19,Promenade Elementary,Public,Corona,Riverside,88,98,98,6602,68892072
California,2018-19,Promise Christian,Private,Murrieta,Riverside,10,NA,NA,6602,68892072
California,2018-19,Prospect Elementary,Public,Orange,Orange,76,88,64,6602,68892072
California,2018-19,Prospect Sierra,Private,El Cerrito,Contra Costa,35,95,95,6602,68892072
California,2018-19,Prospects High Alternative,Public,Antioch,Contra Costa,3,NA,NA,6602,68892072
California,2018-19,Providence,Private,Santa Barbara,Santa Barbara,19,NA,NA,6602,68892072
California,2018-19,Providence Christian,Private,Shingle Springs,El Dorado,14,NA,NA,6602,68892072
California,2018-19,Providence Christian Academy,Private,Denair,Stanislaus,NA,NA,NA,6602,68892072
California,2018-19,Providence Christian School Dba,Private,Orland,Glenn,4,NA,NA,6602,68892072
California,2018-19,Providencia Elementary,Public,Burbank,Los Angeles,95,98,98,6602,68892072
California,2018-19,Prunedale Christian Academy,Private,Salinas,Monterey,10,NA,NA,6602,68892072
California,2018-19,Prunedale Elementary,Public,Salinas,Monterey,113,99,99,6602,68892072
California,2018-19,Ps1 Pluralistic,Private,Santa Monica,Los Angeles,35,91,86,6602,68892072
California,2018-19,Puc Community Charter Elementary,Public,Sylmar,Los Angeles,50,98,98,6602,68892072
California,2018-19,Puc International Preparatory Academy,Public,Los Angeles,Los Angeles,NA,NA,NA,6602,68892072
California,2018-19,Puc Milagro Charter,Public,Los Angeles,Los Angeles,48,95,95,6602,68892072
California,2018-19,Pueblo Vista Elementary,Public,Napa,Napa,75,98,98,6602,68892072
California,2018-19,Puente Charter,Public,Los Angeles,Los Angeles,62,98,98,6602,68892072
California,2018-19,Puesta Del Sol Elementary,Public,Victorville,San Bernardino,117,98,90,6602,68892072
California,2018-19,Pulliam Elementary,Public,Stockton,San Joaquin,109,99,99,6602,68892072
California,2018-19,Purche Avenue Elementary,Public,Gardena,Los Angeles,95,89,86,6602,68892072
California,2018-19,Pv Peninsula Montessori,Private,Rancho Palos Verdes,Los Angeles,23,95,95,6602,68892072
California,2018-19,Pyle Elementary,Public,Fresno,Fresno,100,99,99,6602,68892072
California,2018-19,Quail Glen Elementary,Public,Roseville,Placer,120,98,98,6602,68892072
California,2018-19,Quail Lake Environmental Charter,Public,Clovis,Fresno,72,98,98,6602,68892072
California,2018-19,Quail Run Elementary,Public,San Ramon,Contra Costa,133,99,99,6602,68892072
California,2018-19,Quail Summit Elementary,Public,Diamond Bar,Los Angeles,96,98,98,6602,68892072
California,2018-19,Quail Valley Elementary,Public,Palmdale,Los Angeles,94,98,98,6602,68892072
California,2018-19,Quail Valley Elementary,Public,Quail Valley,Riverside,68,98,98,6602,68892072
California,2018-19,Quailwood Elementary,Public,Bakersfield,Kern,47,95,95,6602,68892072
California,2018-19,Quarry Lane School The,Private,Dublin,Alameda,32,95,95,6602,68892072
California,2018-19,Quartz Hill Elementary,Public,Quartz Hill,Los Angeles,155,96,92,6602,68892072
California,2018-19,Queen Anne Place Elementary,Public,Los Angeles,Los Angeles,59,80,69,6602,68892072
California,2018-19,Queen Of All Saints Elementary,Private,Concord,Contra Costa,32,95,95,6602,68892072
California,2018-19,Queen Of Apostles,Private,San Jose,Santa Clara,27,95,95,6602,68892072
California,2018-19,Quincy Elementary,Public,Quincy,Plumas,56,89,86,6602,68892072
California,2018-19,Quincy Jones Elementary,Public,Los Angeles,Los Angeles,66,98,98,6602,68892072
California,2018-19,R. D. White Elementary,Public,Glendale,Los Angeles,158,99,96,6602,68892072
California,2018-19,R. F. Hazard Elementary,Public,Santa Ana,Orange,59,98,98,6602,68892072
California,2018-19,R. I. Meyerholz Elementary,Public,San Jose,Santa Clara,123,99,99,6602,68892072
California,2018-19,R. J. Neutra,Public,N.A.S. Lemoore,Kings,129,99,99,6602,68892072
California,2018-19,R. L. Stevenson Elementary,Public,Burbank,Los Angeles,99,97,96,6602,68892072
California,2018-19,R. M. Miano Elementary,Public,Los Banos,Merced,126,98,98,6602,68892072
California,2018-19,R. O. Hardin Elementary,Public,Hollister,San Benito,107,97,97,6602,68892072
California,2018-19,R. Paul Krey Elementary,Public,Brentwood,Contra Costa,153,99,99,6602,68892072
California,2018-19,R. Roger Rowe Elementary,Public,Rancho Santa Fe,San Diego,44,93,91,6602,68892072
California,2018-19,R. S. M. Montessori Elementary,Private,Rancho Santa Margarita,Orange,14,NA,NA,6602,68892072
California,2018-19,Rabbi Jacob Pressman Academy,Private,Los Angeles,Los Angeles,43,95,95,6602,68892072
California,2018-19,Rachel Carson Elementary,Public,San Jose,Santa Clara,42,95,95,6602,68892072
California,2018-19,Radcliff Elementary,Public,Watsonville,Santa Cruz,88,98,98,6602,68892072
California,2018-19,Rafer Johnson,Public,Bakersfield,Kern,1,NA,NA,6602,68892072
California,2018-19,Raffaello Palla Elementary,Public,Bakersfield,Kern,212,99,96,6602,68892072
California,2018-19,Rail Ranch Elementary,Public,Murrieta,Riverside,88,97,93,6602,68892072
California,2018-19,Rail Road Flat Elementary,Public,Rail Road Flat,Calaveras,5,NA,NA,6602,68892072
California,2018-19,Railroad Canyon Elementary,Public,Lake Elsinore,Riverside,170,98,96,6602,68892072
California,2018-19,Railway Elementary,Public,Perris,Riverside,113,99,99,6602,68892072
California,2018-19,Rainbow Montessori,Private,Sunnyvale,Santa Clara,120,99,99,6602,68892072
California,2018-19,Rainbow Ridge Elementary,Public,Moreno Valley,Riverside,142,99,99,6602,68892072
California,2018-19,Ralph A. Gates Elementary,Public,Lake Forest,Orange,153,99,96,6602,68892072
California,2018-19,Ralph Bunche Elementary,Public,Carson,Los Angeles,38,95,92,6602,68892072
California,2018-19,Ralph Dunlap Elementary,Public,Santa Maria,Santa Barbara,64,98,95,6602,68892072
California,2018-19,Ralph E. Hawes Elementary,Public,Huntington Beach,Orange,92,92,91,6602,68892072
California,2018-19,Ralph Emerson Elementary,Public,Burbank,Los Angeles,194,99,99,6602,68892072
California,2018-19,Ralph Richardson Center,Public,Carmichael,Sacramento,2,NA,NA,6602,68892072
California,2018-19,Ramblewood Elementary,Public,San Jose,Santa Clara,43,95,95,6602,68892072
California,2018-19,Ramon Garza Elementary,Public,Bakersfield,Kern,183,99,98,6602,68892072
California,2018-19,Ramon S. Tafoya Elementary,Public,Woodland,Yolo,103,98,97,6602,68892072
California,2018-19,Ramona,Public,Hawthorne,Los Angeles,153,99,99,6602,68892072
California,2018-19,Ramona Community Montessori,Public,Ramona,San Diego,50,90,84,6602,68892072
California,2018-19,Ramona Elementary,Public,Alhambra,Los Angeles,110,99,99,6602,68892072
California,2018-19,Ramona Elementary,Public,Bellflower,Los Angeles,69,98,98,6602,68892072
California,2018-19,Ramona Elementary,Public,Hemet,Riverside,125,96,96,6602,68892072
California,2018-19,Ramona Elementary,Public,Los Angeles,Los Angeles,86,84,78,6602,68892072
California,2018-19,Ramona Elementary,Public,Montclair,San Bernardino,94,98,97,6602,68892072
California,2018-19,Ramona Elementary,Public,Moreno Valley,Riverside,136,99,99,6602,68892072
California,2018-19,Ramona Elementary,Public,Oxnard,Ventura,107,99,97,6602,68892072
California,2018-19,Ramona Elementary,Public,Ramona,San Diego,73,96,96,6602,68892072
California,2018-19,Ramona Lutheran,Private,Ramona,San Diego,14,NA,NA,6602,68892072
California,2018-19,Ramonaalessandro Elementary,Public,San Bernardino,San Bernardino,94,98,98,6602,68892072
California,2018-19,Ranch Hills Elementary,Public,Pomona,Los Angeles,41,95,95,6602,68892072
California,2018-19,Ranch View Elementary,Public,Ontario,San Bernardino,113,95,90,6602,68892072
California,2018-19,Ranchito Avenue Elementary,Public,Panorama City,Los Angeles,113,95,95,6602,68892072
California,2018-19,Rancho Canada Elementary,Public,Lake Forest,Orange,96,98,98,6602,68892072
California,2018-19,Rancho Christian,Private,Temecula,Riverside,43,88,88,6602,68892072
California,2018-19,Rancho Christian Academy,Private,Rancho Cucamonga,San Bernardino,4,NA,NA,6602,68892072
California,2018-19,Rancho Cordova Elementary,Public,Rancho Cordova,Sacramento,99,98,97,6602,68892072
California,2018-19,Rancho De La Nacion,Public,National City,San Diego,59,98,98,6602,68892072
California,2018-19,Rancho Elementary,Public,Novato,Marin,63,98,92,6602,68892072
California,2018-19,Rancho Elementary,Public,Spring Valley,San Diego,45,95,95,6602,68892072
California,2018-19,Rancho Elementary,Public,Temecula,Riverside,103,99,99,6602,68892072
California,2018-19,Rancho Las Positas Elementary,Public,Livermore,Alameda,116,97,97,6602,68892072
California,2018-19,Rancho Mirage Elementary,Public,Rancho Mirage,Riverside,57,98,98,6602,68892072
California,2018-19,Rancho Romero Elementary,Public,Alamo,Contra Costa,81,98,98,6602,68892072
California,2018-19,Rancho Rosal Elementary,Public,Camarillo,Ventura,110,98,98,6602,68892072
California,2018-19,Rancho San Diego Elementary,Public,El Cajon,San Diego,122,99,98,6602,68892072
California,2018-19,Rancho Santa Gertrudes Elementary,Public,Santa Fe Springs,Los Angeles,50,94,92,6602,68892072
California,2018-19,Rancho Tehama Elementary,Public,Corning,Tehama,16,NA,NA,6602,68892072
California,2018-19,Rancho Verde Elementary,Public,Apple Valley,San Bernardino,116,99,97,6602,68892072
California,2018-19,Rancho Vista Elementary,Public,Palmdale,Los Angeles,130,99,94,6602,68892072
California,2018-19,Rancho Vista Elementary,Public,Rolling Hills Estates,Los Angeles,72,93,88,6602,68892072
California,2018-19,Randall Pepper Elementary,Public,Fontana,San Bernardino,84,98,98,6602,68892072
California,2018-19,Raymond Avenue Elementary,Public,Los Angeles,Los Angeles,112,77,72,6602,68892072
California,2018-19,Raymond Case Elementary,Public,Elk Grove,Sacramento,120,99,99,6602,68892072
California,2018-19,Raymond Elementary,Public,Fullerton,Orange,122,98,97,6602,68892072
California,2018-19,Raymond Temple Elementary,Public,Buena Park,Orange,121,98,97,6602,68892072
California,2018-19,Raymondknowles Elementary,Public,Raymond,Madera,9,NA,NA,6602,68892072
California,2018-19,Reach,Public,Sebastopol,Sonoma,24,79,54,6602,68892072
California,2018-19,Reach Academy,Public,Oakland,Alameda,78,97,96,6602,68892072
California,2018-19,Reach Leadership Steam Academy,Public,Riverside,Riverside,74,98,98,6602,68892072
California,2018-19,Ready Springs Elementary,Public,Penn Valley,Nevada,30,93,90,6602,68892072
California,2018-19,Reagan Elementary,Public,Clovis,Fresno,120,99,98,6602,68892072
California,2018-19,Reagan Elementary,Public,Lindsay,Tulare,50,98,98,6602,68892072
California,2018-19,Reche Canyon Elementary,Public,Colton,San Bernardino,86,98,98,6602,68892072
California,2018-19,Red Bank Elementary,Public,Clovis,Fresno,131,97,97,6602,68892072
California,2018-19,Red Hawk Elementary,Public,Temecula,Riverside,106,99,99,6602,68892072
California,2018-19,Red Hill Elementary,Public,Santa Ana,Orange,83,98,94,6602,68892072
California,2018-19,Red Hill Lutheran,Private,Tustin,Orange,54,93,93,6602,68892072
California,2018-19,Red Oak Elementary,Public,Oak Park,Ventura,118,99,97,6602,68892072
California,2018-19,Redbud Montessori,Private,Davis,Yolo,8,NA,NA,6602,68892072
California,2018-19,Redding Adventist Academy,Private,Redding,Shasta,7,NA,NA,6602,68892072
California,2018-19,Redding Christian,Private,Palo Cedro,Shasta,26,81,81,6602,68892072
California,2018-19,Redding Collegiate Academy,Public,Redding,Shasta,10,NA,NA,6602,68892072
California,2018-19,Redding Elementary,Public,San Francisco,San Francisco,59,97,95,6602,68892072
California,2018-19,Redding School Of The Arts,Public,Redding,Shasta,76,79,76,6602,68892072
California,2018-19,Redding Stem Academy,Public,Redding,Shasta,23,78,78,6602,68892072
California,2018-19,Redeemer Baptist Elementary,Private,Los Angeles,Los Angeles,6,NA,NA,6602,68892072
California,2018-19,Redeemer By The Sea Lutheran Kindergarten And Preschool,Private,Carlsbad,San Diego,46,95,87,6602,68892072
California,2018-19,Redeemer Lutheran,Private,Redwood City,San Mateo,19,NA,NA,6602,68892072
California,2018-19,Redeemer Lutheran,Private,South Gate,Los Angeles,6,NA,NA,6602,68892072
California,2018-19,Redlands Adventist Academy,Private,Redlands,San Bernardino,29,95,95,6602,68892072
California,2018-19,Redlands Christian,Private,Redlands,San Bernardino,72,96,96,6602,68892072
California,2018-19,Redlands Eacademy,Public,Redlands,San Bernardino,5,NA,NA,6602,68892072
California,2018-19,Redway Elementary,Public,Redway,Humboldt,54,83,52,6602,68892072
California,2018-19,Redwood Adventist Academy,Private,Santa Rosa,Sonoma,6,NA,NA,6602,68892072
California,2018-19,Redwood Christian,Private,Eureka,Humboldt,10,NA,NA,6602,68892072
California,2018-19,Redwood Christian Elementary,Private,Castro Valley,Alameda,64,98,95,6602,68892072
California,2018-19,Redwood Day,Private,Oakland,Alameda,32,94,91,6602,68892072
California,2018-19,Redwood Elementary,Public,Crescent City,Del Norte,52,98,98,6602,68892072
California,2018-19,Redwood Elementary,Public,Fontana,San Bernardino,60,98,97,6602,68892072
California,2018-19,Redwood Elementary,Public,Fort Bragg,Mendocino,154,55,55,6602,68892072
California,2018-19,Redwood Elementary,Public,Shafter,Kern,131,99,99,6602,68892072
California,2018-19,Redwood Heights Elementary,Public,Oakland,Alameda,65,89,82,6602,68892072
California,2018-19,Redwood Preparatory Charter,Public,Fortuna,Humboldt,30,93,93,6602,68892072
California,2018-19,Redwood Shores Elementary,Public,Redwood City,San Mateo,84,98,98,6602,68892072
California,2018-19,Reed Elementary,Public,San Jose,Santa Clara,101,99,98,6602,68892072
California,2018-19,Reed Elementary,Public,Tiburon,Marin,132,97,95,6602,68892072
California,2018-19,Reeds Creek Elementary,Public,Red Bluff,Tehama,22,95,95,6602,68892072
California,2018-19,Reformation Ev. Lutheran Church And,Private,San Diego,San Diego,10,NA,NA,6602,68892072
California,2018-19,Regency Park Elementary,Public,Sacramento,Sacramento,151,98,98,6602,68892072
California,2018-19,Reidy Creek Elementary,Public,Escondido,San Diego,129,97,97,6602,68892072
California,2018-19,Renaissance Arts Academy,Public,Los Angeles,Los Angeles,23,83,83,6602,68892072
California,2018-19,Renascence School International,Private,Costa Mesa,Orange,25,95,95,6602,68892072
California,2018-19,Repetto Elementary,Public,Monterey Park,Los Angeles,116,98,98,6602,68892072
California,2018-19,Rescue Elementary,Public,Rescue,El Dorado,113,96,96,6602,68892072
California,2018-19,Reseda Elementary,Public,Reseda,Los Angeles,69,98,98,6602,68892072
California,2018-19,Resurrection,Private,Los Angeles,Los Angeles,NA,NA,NA,6602,68892072
California,2018-19,Resurrection Academy,Private,Fontana,San Bernardino,30,95,95,6602,68892072
California,2018-19,Resurrection Elementary,Private,Sunnyvale,Santa Clara,22,95,95,6602,68892072
California,2018-19,Revere Paul Elementary,Public,Anaheim,Orange,144,99,97,6602,68892072
California,2018-19,Revere Paul Elementary,Public,San Francisco,San Francisco,52,98,98,6602,68892072
California,2018-19,Revival Christian Academy,Private,Menifee,Riverside,7,NA,NA,6602,68892072
California,2018-19,Revo Academy,Private,Thousand Oaks,Ventura,4,NA,NA,6602,68892072
California,2018-19,Reyn Franca,Private,Denair,Stanislaus,NA,NA,NA,6602,68892072
California,2018-19,Reynolds Elementary,Public,Oceanside,San Diego,106,98,97,6602,68892072
California,2018-19,Rhoda Maxwell Elementary,Public,Woodland,Yolo,86,98,97,6602,68892072
California,2018-19,Ribet Academy,Private,Los Angeles,Los Angeles,4,NA,NA,6602,68892072
California,2018-19,Ricardo Lizarraga Elementary,Public,Los Angeles,Los Angeles,82,98,98,6602,68892072
California,2018-19,Rice Canyon Elementary,Public,Lake Elsinore,Riverside,115,97,97,6602,68892072
California,2018-19,Rice Eldridge Elementary,Public,Rosemead,Los Angeles,49,95,95,6602,68892072
California,2018-19,Rice Lilian J. Elementary,Public,Chula Vista,San Diego,94,98,98,6602,68892072
California,2018-19,Rice William Elementary,Public,Santa Maria,Santa Barbara,148,99,99,6602,68892072
California,2018-19,Richard Bard Elementary,Public,Port Hueneme,Ventura,120,99,98,6602,68892072
California,2018-19,Richard Crane Elementary,Public,Rohnert Park,Sonoma,52,98,98,6602,68892072
California,2018-19,Richard Haynes Elementary,Public,Ontario,San Bernardino,119,99,99,6602,68892072
California,2018-19,Richard Henry Dana Elementary,Public,Dana Point,Orange,29,95,95,6602,68892072
California,2018-19,Richard Henry Dana Exceptional Needs,Public,Dana Point,Orange,3,NA,NA,6602,68892072
California,2018-19,Richard Henry Lee Elementary,Public,Los Alamitos,Orange,119,99,99,6602,68892072
California,2018-19,Richard M. Moon Primary,Public,Waterford,Stanislaus,171,98,97,6602,68892072
California,2018-19,Richard R. Oliphant Elementary,Public,Indio,Riverside,112,98,97,6602,68892072
California,2018-19,Richard Riordan Primary Center,Public,Los Angeles,Los Angeles,107,98,97,6602,68892072
California,2018-19,Richfield Elementary,Public,Corning,Tehama,25,95,95,6602,68892072
California,2018-19,Richgrove Elementary,Public,Richgrove,Tulare,76,98,98,6602,68892072
California,2018-19,Richland Avenue Elementary,Public,Los Angeles,Los Angeles,88,86,83,6602,68892072
California,2018-19,Richland Elementary,Public,San Marcos,San Diego,145,97,94,6602,68892072
California,2018-19,Richman Elementary,Public,Fullerton,Orange,86,98,97,6602,68892072
California,2018-19,Richmond Charter Elementarybenito Juarez,Public,Richmond,Contra Costa,48,95,95,6602,68892072
California,2018-19,Richmond College Preparatory,Public,Richmond,Contra Costa,78,98,98,6602,68892072
California,2018-19,Richmond Elementary,Public,Ridgecrest,Kern,79,97,95,6602,68892072
California,2018-19,Richmond Elementary,Public,Susanville,Lassen,25,95,95,6602,68892072
California,2018-19,Richmond Street Elementary,Public,El Segundo,Los Angeles,116,96,95,6602,68892072
California,2018-19,Ridge Crest Elementary,Public,Moreno Valley,Riverside,113,96,94,6602,68892072
California,2018-19,Ridgecrest Charter,Public,Ridgecrest,Kern,59,98,98,6602,68892072
California,2018-19,Ridgemoor Elementary,Public,Sun City,Riverside,109,99,95,6602,68892072
California,2018-19,Ridgepoint Elementary,Public,Sacramento,Sacramento,88,94,93,6602,68892072
California,2018-19,Ridgeview Elementary,Public,Yucaipa,San Bernardino,102,99,98,6602,68892072
California,2018-19,Ridgewood Elementary,Public,Eureka,Humboldt,112,99,99,6602,68892072
California,2018-19,Riley Elementary,Public,Lakewood,Los Angeles,64,98,97,6602,68892072
California,2018-19,Riley Elementary,Public,San Bernardino,San Bernardino,110,99,99,6602,68892072
California,2018-19,Riley/New Dawn,Public,San Diego,San Diego,1,NA,NA,6602,68892072
California,2018-19,Rincon Valley Christian,Private,Santa Rosa,Sonoma,12,NA,NA,6602,68892072
California,2018-19,Rincon Valley Partnership,Public,Santa Rosa,Sonoma,16,NA,NA,6602,68892072
California,2018-19,Rio Bravo Elementary,Public,Bakersfield,Kern,148,98,97,6602,68892072
California,2018-19,Rio Calaveras Elementary,Public,Stockton,San Joaquin,94,98,98,6602,68892072
California,2018-19,Rio Del Mar,Public,Oxnard,Ventura,73,98,98,6602,68892072
California,2018-19,Rio Del Mar Elementary,Public,Aptos,Santa Cruz,54,96,96,6602,68892072
California,2018-19,Rio Del Norte,Public,Oxnard,Ventura,84,98,98,6602,68892072
California,2018-19,Rio Del Oro Elementary,Public,Plumas Lake,Yuba,112,98,98,6602,68892072
California,2018-19,Rio Del Sol,Public,Oxnard,Ventura,118,99,99,6602,68892072
California,2018-19,Rio Hondo Elementary,Public,Arcadia,Los Angeles,57,98,98,6602,68892072
California,2018-19,Rio Hondo Elementary,Public,Downey,Los Angeles,117,94,91,6602,68892072
California,2018-19,Rio Lindo Elementary,Public,Oxnard,Ventura,91,98,98,6602,68892072
California,2018-19,Rio Plaza Elementary,Public,Oxnard,Ventura,94,98,98,6602,68892072
California,2018-19,Rio Real Elementary,Public,Oxnard,Ventura,96,98,98,6602,68892072
California,2018-19,Rio Rosales,Public,Oxnard,Ventura,80,98,98,6602,68892072
California,2018-19,Rio San Gabriel Elementary,Public,Downey,Los Angeles,105,98,98,6602,68892072
California,2018-19,Rio Seco Elementary,Public,Santee,San Diego,93,98,98,6602,68892072
California,2018-19,Rio Valley Charter,Public,Lodi,San Joaquin,39,69,67,6602,68892072
California,2018-19,Rio Vista Elementary,Public,Anaheim,Orange,173,99,97,6602,68892072
California,2018-19,Rio Vista Elementary,Public,Bay Point,Contra Costa,81,96,93,6602,68892072
California,2018-19,Rio Vista Elementary,Public,Canyon Country,Los Angeles,54,98,98,6602,68892072
California,2018-19,Rio Vista Elementary,Public,Cathedral City,Riverside,132,99,98,6602,68892072
California,2018-19,Rio Vista Elementary,Public,El Monte,Los Angeles,54,93,93,6602,68892072
California,2018-19,Rio Vista Elementary,Public,Fillmore,Ventura,96,97,97,6602,68892072
California,2018-19,Rio Vista Elementary,Public,North Hollywood,Los Angeles,109,88,83,6602,68892072
California,2018-19,Rio Vista Elementary,Public,Pico Rivera,Los Angeles,93,98,98,6602,68892072
California,2018-19,Rio Vista Elementary,Public,San Bernardino,San Bernardino,83,98,98,6602,68892072
California,2018-19,Rio Vista School Of Applied Learning,Public,Apple Valley,San Bernardino,149,98,97,6602,68892072
California,2018-19,Ripon Christian,Private,Ripon,San Joaquin,61,97,93,6602,68892072
California,2018-19,Ripon Elementary,Public,Ripon,San Joaquin,72,98,98,6602,68892072
California,2018-19,Ripona Elementary,Public,Ripon,San Joaquin,65,98,97,6602,68892072
California,2018-19,Rise And Shine,Private,Newhall,Los Angeles,9,NA,NA,6602,68892072
California,2018-19,Rise Community,Public,Oakland,Alameda,46,95,95,6602,68892072
California,2018-19,Rise Montessori,Private,Canoga Park,Los Angeles,2,NA,NA,6602,68892072
California,2018-19,Rising Star Montessori,Private,Alameda,Alameda,9,NA,NA,6602,68892072
California,2018-19,Rising Sun Montessori,Public,El Dorado Hills,El Dorado,26,95,95,6602,68892072
California,2018-19,Ritter Elementary,Public,Los Angeles,Los Angeles,89,98,98,6602,68892072
